text,label
防止发生系统性金融风险是金融工作的永恒主题。,1
（七）进一步改进外汇管理 继续深化外汇管理体制改革，努力改善国际收支平衡状况。,0
房价环比涨幅略升，但同比涨幅回落。,0
（三）居民消费价格涨幅提高 [NUM] 年以来，CPI同比涨幅逐月提高。,0
受国际经济金融形势 变化等因素的影响，下半年工业经济运行下行压力加大，全年呈现“前 高后低”走势。,1
全球金融市场仍然不稳，大宗商品价格波动存在不确定性。,1
股票市场指数下行，成交量增加，筹资额 减少。,1
为提振经济增长，一些新兴市场经济 体则放宽了货币政策。,0
四是增强自主创新能力，培育自主品牌。,0
高铁建设加速发展，运载 能力不断提高。,0
新兴经济体货币政策分化。,0
固定资产投资增速稳中有升，制造业投资和民间投资增速持续回 升。,0
中国人民银行第一季度企业家问卷调查显示，反映海外需求的出 口订单指数跌幅虽有所收窄，但仍较上季下跌了 [NUM] 个百分点。,1
（二）债券发行利率下行，发行量增加 债券发行利率总体下行。,1
持续释放贷款市场报价利率（LPR）改革红利。,0
三是加强流动性风险管控，控制杠杆水平。,1
外汇市场会员进一步扩大。,0
引导汽车消费信贷健康发展。,0
培育和发展住房租赁市场，既是构建房地产新发展模式的重要一环，也有助 于促进房地产市场的平稳健康发展。,0
商品房销售大幅回升，增速超过 [NUM] 年的历史同期最高水平。,0
其次，产能释放压力上升。,1
持续提升金融支持科技创新。,0
灵活开展公开市场操作。,0
在经济总体增速有所放缓、结构调整不断深化的大背景下，信息 产业对国民经济和社会发展的支撑作用不断增强。,0
二是持续开展法规清理。,0
鼓励商业银行发行双创金融债券。,0
食品价格大幅上涨是推动CPI 上涨的主要原因。,0
资金实力显著增强，支农服务力度进一步加大。,0
PPI 在高基数影响下 保持低位运行。,1
要采用资源节约型和环境友好型的发展模式，在提高经济增长水平的 同时提高经济发展的质量。,0
欧洲等地能 源供给紧张可能进一步加剧企业和居民生产生活困难，抑制经济复苏 进程。,1
从发展阶段、发展条件、发展优 势等方面综合考量，我国发展前景仍长期看好，要保持定力、稳中求 进，坚定不移深化改革、扩大开放，更加注重有力有效实施宏观政策 调控，扎实推动经济高质量发展，同时保持合理的经济增速。,0
 [NUM] 、GDP 缩减指数继续回落。,1
三是明确了风险防控与处置机制，要求基金管理人及相关市场主体制 定合理有效的风险应对预案，证监会会同人民银行等相关部门建立信 息共享机制，规定不同风险情形下基金管理人自有资金、风险准备金 等风险处置资金来源。,1
加强外汇监测分析与风险防范。,1
"同比增速为可比口径数据,为年增速。",0
但近来国际资本 市场的波动给这个计划带来了不确定性。,1
二是继续支持 绿色低碳、科技创新等领域发展。,0
价格走势值得关注。,0
改制银行的市场影响力进一步增强。,0
进一步推动证券产品业务创新。,0
总体上，盘活存量贷款、优化新增贷款投 向对支撑经济增长同等重要。,0
市场预期不稳或进一步加剧市场 波动，相关风险值得警惕。,1
继续完善民生金融和区域经济 协调发展的金融服务工作。,0
全年大致 分为两个阶段：第一阶段为年初至 [NUM] 月份，国债收益率曲线整体震荡 下行。,1
与此同时，长期利率不升反降。,1
大力培育和发展机构投资者，进一步完善 做市商和经纪商制度。,0
对以诈骗 敛财为目的非法集资、转贷谋利、洗钱和暴力催收导致的人身伤害等违法犯罪行 为，公安司法机关应该介入，严厉打击。,1
债市收益率震荡下行。,1
加强系统性风险监测评估。,1
第一季度票据市场利率略有下行。,1
（七）行业分析 工业企业利润增速转正。,0
 [NUM] 专栏 [NUM] ：贷款季节波动分析 我国金融机构贷款投放存在比较明显的季节波动。,1
农村信用社改革取得重要进展和阶段性成果。,0
上半年，银行间市场国债收益率曲线整体下行。,1
GDP 平减指数同比上涨。,0
在工业品出厂价中，生产资料涨幅高于生活资料。,0
稳妥退出对产能过剩、长期资不抵债、经营亏损企业 的贷款。,1
首先，金融机构资产 负债期限结构失配加剧，潜在的流动性风险更加突出。,1
投资增速稳步回升，高技术产业投资增长较快。,0
各类贷款快速增长有利于促进经济平稳较快发展。,0
食品价格回落和基 期因素影响减弱是居民消费价格涨幅继续回落的主要原因。,1
一是会形成一定的 价格上涨压力。,1
政治和地缘政治风险上升制约经济增长。,1
三是外部输入型风险将继续冲击国内经济。,1
二是对金融衍生产品的过度依赖和风险控制不当。,1
通胀回落速度可能不及预期。,1
由于一些评级公司对该类产品的风险定价低估，误导了投资者，助长了 市场对该类产品的过度乐观情绪，使房贷衍生产品在政府托管基金、养老金等保 守型基金中广为销售，埋下了较大的风险隐患。,1
金融机构超额准备金率为 [NUM] 。,0
全球物 价水平稳步回落。,1
金融机构信贷投放节 奏把握适度，保持了支持实体经济的连续性、稳定性、可持续性，增 强了服务高质量发展的后劲。,0
同时，持续改革完善 LPR，着重提高 LPR 报价质量，更好发挥利 率自律机制作用，维护理性有序竞争秩序，畅通利率传导渠道，为经济回升向好 和高质量发展营造良好的货币金融环境。,0
欧元区经济复苏。,0
信贷紧缩情况依然明显，但降速有所放缓。,1
出口产品结构改善推动外贸持续复苏。,0
受疫情影响，主要经济体第一季度经济增速下滑。,1
强化跨行业、跨市场、跨境金融风险的监测评估，防 范实体经济部分地区、行业、企业风险及非正规金融风险向金融体系 传导。,1
专栏 [NUM] ：推动商业银行设立基金管理公司 目前，我国直接融资比例过低，间接融资比重过高，全社会的融资风险过度 集中在银行体系。,1
三是关注部分行业和领域可能出现投资效率下降和产能过剩加剧的问题。,1
引导金融机构优化信贷结构，支持实体 经济发展和结构调整。,0
地缘政 治紧张局势抬头、部分国家间经贸摩擦日益深化。,1
 [NUM] ．房地产销售市场活跃。,0
金融市场产品创新不断推出，市 场制度性建设获得较大进展，运行机制进一步完善。,0
日本信用评级被调低，经济复苏前景仍待观察。,0
资源价格偏低是我国经济内外失衡的重要诱因。,1
