text,label
人民币汇率有贬有升、双向波动。,1
一是更加聚焦自主创新能力。,0
大型商业银行改革继续深化。,0
房地产价格持续上涨，特别是商品住房价格上涨偏快。,0
第三，社会化中介服务不足。,0
有研究发现，劳动年龄人口增长趋缓后劳动力价格刚性的上升、全球大宗商品价格大幅下行以及国内较为突出的产能过剩矛盾等，可以较好解释当时 PPI 长期负增长以及 PPI 与 CPI缺口明显扩大等现象，相比而言这期间需求变化的影响和冲击并不很强。,1
生产价格季度降幅扩大。,1
债券发行利率总体回落。,1
二是消费稳步改善。,0
三是多元化创新品种不断丰富。,0
体系也需进一步完善。,0
二是企业债券融资活跃，拉动直接融资占比创历史最高水平。,0
短期看，全球经济存在诸多不确定性，面临一定的下行风险。,1
3月综合物价指数（HICP）为-0.1%，降幅继续收窄。,1
展望2023年，我国经济运行有望总体回升，经济循环将更为顺畅。,0
比如说，盘活低效占用的金融资源，虽然不体现为贷款增量，但使用金融资源的主体效率提高，能为经济高质量发展注入新动力。,0
在债券中引入分层设计，区别债券不同等级的风险。,1
2017年上半年，中国经济总体运行平稳，供给侧结构性改革深入推进，转型升级步伐加快，经济发展的稳定性、协调性和可持续性增强。,0
大型商业银行改革进一步推进。,0
一是保持流动性合理充裕，为高质量发展和供给侧结构性改革营造适宜的货币金融环境。,0
2020年面对新冠肺炎疫情的严重冲击，我国是全球唯一实现经济正增长的主要经济体，也是少数实施正常货币政策的主要经济体，走出了一波独立行情。,1
（一）消费拉动作用增强消费拉动作用增强，新兴业态消费增长较快。,0
汽车产业发展迅速。,0
随着债券市场的发展，债券交易系统和登记托管结算系统需要进一步升级改造。,0
钢铁行业应化挑战为机遇，以供给侧结构性改革为契机，加大结构调整和转型升级力度。,0
部分新兴市场经济体面临较大的经济下行压力，经济脆弱性凸显。,1
第三季度，印度、马来西亚、泰国、越南等国相继采取加息和提高存款准备金率等措施，抑制国内通胀压力。,1
中国人民银行积极探索发挥信贷政策的结构引导作用，支持经济结构调整和转型升级。,0
全球长期利率走势先升后降，下降的幅度略大于短期利率。,1
新兴市场经济体仍维持强劲的增长势头。,0
套利交易资金流入大宗商品市场，使得大宗商品市场金融性交易比重越来越大，商品价格甚至一定程度上脱离实际需求因素，增大了全球通胀压力。,1
此次欧洲主权债务危机也与西方国家政府支出过度膨胀有关。,1
随着通胀居高不下和经济前景走弱，第三季度美欧主要股指继续承压，前期表现良好的科技股跌幅明显。,1
债券市场指数小幅上行。,0
投资规模持续扩大，高技术产业投资增长较快。,0
展望未来，家电行业是我国稳增长、促消费的重要引擎，将继续向品质化、国际化加速转型。,0
银行间债券市场指数小幅上行。,0
近年来，中国证监会支持和引导上市公司不断改善经营效率和盈利能力，综合运用分红、回购、大股东增持等手段回报投资者，推动上市公司投资价值合理反映公司质量，起到助力市场稳定、提振投资者信心的作用。,0
农业现代化是国家现代化的基础和支撑。,0
"当前全球经济增长显著放缓,未来面临较大的下行风险，将直接影响中国的出口以及贸易部门的投资。",1
国民经济有望持续好转。,0
球价值链中低端，自主创新能力亟待加强。,1
另一方面，贸易摩擦和主要经济体货币政策的变化也可能对全球经济产生向下压力，对外需形成冲击。,1
二是容易鼓励金融机构的冒险行为，过度加杠杆，加大金融体系脆弱性。,1
支持房地产市场平稳健康发展。,0
贷款投向总体符合信贷政策导向。,0
美元指数宽幅震荡、一度连创20年新高，11月后又连续下跌，主要非美货币也屡创20年低位。,1
居民消费价格继续低位增长。,1
个人住房贷款余额增幅持续下降。,0
2004年上半年，全球经济复苏和增长势头加强，经济形势不断好转的区域由美国和东亚扩展到日本、欧元区和南美。,0
资金实力明显增强。,0
货币市场基金作为新兴的货币市场机构投资人， 对货币市场发展的影响值得进一步关注。,0
近年来，随着能源、环境、交通等约束进一步收紧，节能环保低碳和发展绿色制造已成大势所趋。,0
6月至8月是港股分红季，上市公司大部分分红资金需购汇解决。,0
同时，进一步优化金融资源配置，改善和优化融资结构和信贷结构。,0
随着节后消费需求相对减弱和天气回暖，食品类价格3月份有所回落。,1
四是资产规模不断扩大，支农资金实力有所增强。,0
内需对经济的拉动不断上升，新兴产业蓬勃发展，传统产业转型升级态势良好，经济结构继续优化，就业形势保持稳定。,0
二是出口产品升级换代，特别是机电产品进一步打开国际市场。,0
引资结构持续优化。,0
同时，受能源、食品价格大幅走高影响，欧元区通胀压力持续上升。,0
提供安全、便捷、高效支付结算服务。,0
继续深化外汇管理体制改革，支持对外贸易健康发展。,0
七是健全金融风险预防、预警、处置、问责制度体系。,1
配合其他经济结构调整政策，进一步发挥汇率在实现总量平衡、 结构调整和经济发展战略转型中的作用。,0
国际金融危机以来全球经济趋于再平衡，经济正在经历一个相对放缓、自我调整的过程。,1
固定资产投资增速回升。,0
金融机构资本充足率越低、 不良贷款比率越高，适用的存款准备金率就越高；反之，金融机构资本充足率越高、不良贷款比率越低，适用的存款准备金率就越低。,1
（四）股票市场指数震荡下行，成交量有所减少股票市场指数震荡下行。,1
失业率仍处于8.9%的高水平。,0
二是农村信用社资金实力显著增强，涉农信贷投放大幅增加。,0
通过银行负债端的存款统计可以体现出“钱在哪”。,1
